t,a,b
1579598620949,"[[8657.56,0.143481],[8657.71,1.126085],[8657.79,0.262549],[8658.22,0.5],[8658.54,0.039719],[8658.66,0.5],[8659.28,0.24214],[8659.29,0.132655],[8659.37,0.3],[8659.78,0.288791],[8659.81,0.00127],[8659.99,0.2],[8660,0.330658],[8660.66,0.057887],[8660.84,0.191208],[8660.85,1.25],[8661.01,0.039919],[8661.03,0.005781],[8661.05,0.348305],[8661.06,0.06]]","[[8656.33,0.145433],[8656.32,0.288786],[8656.09,0.161327],[8656.04,2],[8655.96,0.01155],[8655.88,0.3],[8655.85,2],[8655.02,1],[8655.01,0.132368],[8655,0.691511],[8654.98,4],[8654.27,4],[8654.21,0.04],[8654,0.231032],[8653.99,4],[8653.98,0.009244],[8653.97,4],[8653.71,0.5],[8653.69,0.5],[8653.22,4]]"
1579598621047,"[[8657.56,0.084116],[8657.71,1.126085],[8657.79,0.262549],[8658.22,0.5],[8658.54,0.039719],[8658.66,0.5],[8659.28,0.24214],[8659.29,0.132655],[8659.37,0.3],[8659.78,0.288791],[8659.81,0.00127],[8659.99,0.2],[8660,0.330658],[8660.66,0.057887],[8660.84,0.191208],[8660.85,1.25],[8661.01,0.039919],[8661.03,0.005781],[8661.05,0.348305],[8661.06,0.06]]","[[8656.38,0.303783],[8656.37,0.288785],[8656.32,0.288786],[8656.04,2],[8655.96,0.01155],[8655.88,0.3],[8655.85,2],[8655.02,1],[8655.01,0.132368],[8655,0.691511],[8654.98,4],[8654.27,4],[8654.21,0.04],[8654,0.231032],[8653.99,4],[8653.98,0.009244],[8653.97,4],[8653.71,0.5],[8653.69,0.5],[8653.22,4]]"
1579598621151,"[[8657.56,0.084116],[8657.71,0.126085],[8657.78,1],[8658.22,0.5],[8658.54,0.039719],[8658.66,0.5],[8659.28,0.24214],[8659.29,0.132655],[8659.37,0.3],[8659.78,0.288791],[8659.81,0.00127],[8659.99,0.2],[8660,0.330658],[8660.66,0.057887],[8660.84,0.191208],[8661.01,0.039919],[8661.03,0.005781],[8661.05,0.348305],[8661.06,0.06],[8661.3,0.020021]]","[[8656.46,0.288784],[8656.42,0.448393],[8656.38,0.156913],[8656.04,2],[8655.96,0.01155],[8655.88,0.3],[8655.85,2],[8655.02,1],[8655.01,0.132368],[8655,0.691511],[8654.98,4],[8654.27,4],[8654.21,0.04],[8654,0.231032],[8653.99,4],[8653.98,0.009244],[8653.97,4],[8653.71,0.5],[8653.69,0.5],[8653.22,4]]"
1579598621251,"[[8657.71,0.126085],[8658.21,1],[8658.22,0.5],[8658.54,0.039719],[8658.66,0.5],[8659.28,0.24214],[8659.29,0.132655],[8659.37,0.3],[8659.78,0.288791],[8659.81,0.00127],[8659.99,0.2],[8660,0.330658],[8660.66,0.057887],[8660.84,0.191208],[8660.91,1.25],[8661.01,0.039919],[8661.03,0.005781],[8661.05,0.348305],[8661.06,0.06],[8661.3,0.020021]]","[[8656.5,0.288783],[8656.46,0.438795],[8656.38,0.156913],[8656.04,2],[8655.96,0.01155],[8655.88,0.3],[8655.85,2],[8655.02,1],[8655.01,0.132368],[8655,0.691511],[8654.98,4],[8654.27,4],[8654.21,0.04],[8654,0.231032],[8653.99,4],[8653.98,0.009244],[8653.97,4],[8653.71,0.5],[8653.69,0.5],[8653.22,4]]"
1579598621347,"[[8657.71,0.126085],[8658.21,1],[8658.22,0.5],[8658.54,0.039719],[8658.66,0.5],[8659.28,0.24214],[8659.29,0.132655],[8659.37,0.3],[8659.78,0.288791],[8659.81,0.00127],[8659.99,0.2],[8660,0.330658],[8660.66,0.057887],[8660.84,0.191208],[8660.91,1.25],[8661.01,0.039919],[8661.03,0.005781],[8661.05,0.348305],[8661.06,0.06],[8661.3,0.020021]]","[[8656.5,0.288783],[8656.46,0.438795],[8656.38,0.156913],[8656.04,2],[8655.96,0.01155],[8655.88,0.3],[8655.85,2],[8655.02,1],[8655.01,0.132368],[8655,0.691511],[8654.98,4],[8654.27,4],[8654.21,0.04],[8654,0.231032],[8653.99,4],[8653.98,0.009244],[8653.97,4],[8653.71,0.5],[8653.69,0.5],[8653.22,4]]"
1579598621449,"[[8657.71,0.126085],[8657.78,0.118308],[8658.21,1],[8658.22,0.5],[8658.54,0.039719],[8658.66,0.5],[8659.28,0.24214],[8659.29,0.132655],[8659.37,0.3],[8659.78,0.288791],[8659.81,0.00127],[8659.99,0.2],[8660,0.330658],[8660.66,0.057887],[8660.83,0.348305],[8660.84,0.191208],[8660.91,1.25],[8661.01,0.039919],[8661.03,0.005781],[8661.06,0.06]]","[[8656.56,0.154589],[8656.55,0.28878],[8656.5,0.288783],[8656.38,0.156913],[8656.04,2],[8655.96,0.01155],[8655.88,0.3],[8655.85,2],[8655.02,1],[8655.01,0.132368],[8655,0.691511],[8654.98,4],[8654.27,4],[8654.21,0.04],[8654,0.231032],[8653.99,4],[8653.98,0.009244],[8653.97,4],[8653.71,0.5],[8653.69,0.5]]"
1579598621549,"[[8657.71,0.126085],[8657.78,0.118308],[8658.21,1],[8658.22,0.5],[8658.54,0.039719],[8658.66,0.5],[8659.28,0.24214],[8659.29,0.132655],[8659.37,0.3],[8659.78,0.288791],[8659.81,0.00127],[8659.99,0.2],[8660,0.330658],[8660.66,0.057887],[8660.83,0.348305],[8660.84,0.191208],[8660.91,1.25],[8661.01,0.039919],[8661.03,0.005781],[8661.06,0.06]]","[[8656.61,0.15453],[8656.6,0.288779],[8656.55,0.28878],[8656.38,0.156913],[8656.04,2],[8655.96,0.01155],[8655.88,0.3],[8655.85,2],[8655.02,1],[8655.01,0.132368],[8655,0.691511],[8654.98,4],[8654.27,4],[8654.21,0.04],[8654,0.231032],[8653.99,4],[8653.98,0.009244],[8653.97,4],[8653.71,0.5],[8653.69,0.5]]"
1579598621649,"[[8657.71,0.126085],[8657.77,1],[8657.78,0.118308],[8658.21,1],[8658.22,0.5],[8658.53,0.156913],[8658.54,0.039719],[8658.66,0.5],[8659.28,0.24214],[8659.29,0.132655],[8659.37,0.3],[8659.78,0.288791],[8659.81,0.00127],[8659.99,0.2],[8660,0.330658],[8660.66,0.057887],[8660.83,0.348305],[8660.84,0.191208],[8660.91,1.25],[8661.01,0.039919]]","[[8656.66,0.153727],[8656.65,0.288778],[8656.62,0.156913],[8656.6,0.288779],[8656.04,2],[8655.96,0.01155],[8655.85,2],[8655.02,1],[8655.01,0.132368],[8655,0.691511],[8654.98,4],[8654.27,4],[8654.21,0.04],[8654,0.231032],[8653.99,4],[8653.98,0.009244],[8653.97,4],[8653.71,0.5],[8653.69,0.5],[8653.22,4]]"
1579598621748,"[[8657.71,0.126085],[8657.77,1],[8657.78,0.118308],[8658.21,1],[8658.22,0.5],[8658.53,0.156913],[8658.54,0.039719],[8658.66,0.5],[8659.28,0.24214],[8659.29,0.132655],[8659.37,0.3],[8659.78,0.288791],[8659.81,0.00127],[8659.99,0.2],[8660,0.330658],[8660.66,0.057887],[8660.83,0.348305],[8660.84,0.191208],[8660.91,1.25],[8661.01,0.039919]]","[[8656.66,0.153727],[8656.62,0.156913],[8656.04,2],[8655.96,0.01155],[8655.85,2],[8655.02,1],[8655.01,0.132368],[8655,0.691511],[8654.98,4],[8654.27,4],[8654.21,0.04],[8654,0.231032],[8653.99,4],[8653.98,0.009244],[8653.97,4],[8653.71,0.5],[8653.69,0.5],[8653.22,4],[8653.18,0.120005],[8653.12,3.937098]]"
1579598621852,"[[8657.7,0.117331],[8657.71,0.126085],[8658.21,1],[8658.22,0.5],[8658.53,0.156913],[8658.54,0.039719],[8658.66,0.5],[8659.28,0.24214],[8659.29,0.132655],[8659.37,0.3],[8659.78,0.288791],[8659.81,0.00127],[8659.99,0.2],[8660,0.330658],[8660.66,0.057887],[8660.83,0.348305],[8660.84,0.191208],[8660.91,1.25],[8661.01,0.039919],[8661.03,0.005781]]","[[8656.08,0.01155],[8656.07,0.146754],[8656.05,0.156913],[8656.04,2],[8655.85,2],[8655.02,1],[8655.01,0.132368],[8655,0.691511],[8654.98,4],[8654.27,4],[8654.21,0.04],[8654,0.231032],[8653.99,4],[8653.98,0.009244],[8653.97,4],[8653.71,0.5],[8653.69,0.5],[8653.22,4],[8653.18,0.120005],[8653.12,3.937098]]"
1579598621951,"[[8657.7,0.117331],[8657.71,0.126085],[8658.21,1],[8658.22,0.5],[8658.54,0.039719],[8658.66,0.5],[8659.28,0.24214],[8659.29,0.132655],[8659.37,0.3],[8659.78,0.288791],[8659.81,0.00127],[8659.99,0.2],[8660,0.330658],[8660.66,0.057887],[8660.83,0.348305],[8660.84,0.191208],[8660.91,1.25],[8661.01,0.039919],[8661.03,0.005781],[8661.06,0.06]]","[[8656.08,0.01155],[8656.07,0.146754],[8656.05,0.156913],[8656.04,2],[8655.02,1],[8655.01,0.132368],[8655,0.691511],[8654.98,4],[8654.27,4],[8654.21,0.04],[8654,0.231032],[8653.99,4],[8653.98,0.009244],[8653.97,4],[8653.71,0.5],[8653.69,0.5],[8653.22,4],[8653.18,0.120005],[8653.12,3.937098],[8653.09,0.04619]]"
1579598622050,"[[8657.7,0.117331],[8657.71,0.126085],[8658.21,1],[8658.22,0.5],[8658.54,0.039719],[8658.66,0.5],[8659.28,0.24214],[8659.29,0.132655],[8659.37,0.3],[8659.78,0.288791],[8659.81,0.00127],[8659.99,0.2],[8660,0.330658],[8660.66,0.057887],[8660.83,0.348305],[8660.84,0.191208],[8660.91,1.25],[8661.01,0.039919],[8661.03,0.005781],[8661.06,0.06]]","[[8656.08,0.01155],[8656.07,0.146754],[8656.05,0.156913],[8656.04,2],[8655.02,1],[8655.01,0.132368],[8655,0.691511],[8654.98,4],[8654.27,4],[8654.21,0.04],[8654,0.231032],[8653.99,4],[8653.98,0.009244],[8653.97,4],[8653.71,0.5],[8653.22,4],[8653.18,0.120005],[8653.12,3.937098],[8653.09,0.04619],[8653.04,0.125568]]"
1579598622147,"[[8657.7,0.117331],[8657.71,0.126085],[8658.21,1],[8658.22,0.5],[8658.54,0.039719],[8658.66,0.5],[8659.28,0.24214],[8659.29,0.132655],[8659.37,0.3],[8659.78,0.288791],[8659.81,0.00127],[8659.99,0.2],[8660,0.330658],[8660.66,0.057887],[8660.83,0.348305],[8660.84,0.191208],[8660.91,1.25],[8661.01,0.039919],[8661.03,0.005781],[8661.06,0.06]]","[[8656.08,0.01155],[8656.07,0.146754],[8656.05,0.156913],[8656.04,2],[8655.02,1],[8655.01,0.132368],[8655,0.691511],[8654.98,4],[8654.27,4],[8654.21,0.04],[8654,0.231032],[8653.99,4],[8653.98,0.009244],[8653.97,4],[8653.71,0.5],[8653.22,4],[8653.18,0.120005],[8653.12,3.937098],[8653.09,0.04619],[8653.04,0.125568]]"
1579598622251,"[[8657.7,0.117331],[8657.71,0.126085],[8658.21,1],[8658.22,0.5],[8658.54,0.039719],[8658.66,0.5],[8659.28,0.24214],[8659.29,0.132655],[8659.37,0.3],[8659.78,0.288791],[8659.81,0.00127],[8659.99,0.2],[8660,0.330658],[8660.66,0.057887],[8660.83,0.348305],[8660.84,0.191208],[8660.91,1.25],[8661.01,0.039919],[8661.03,0.005781],[8661.06,0.06]]","[[8656.08,0.01155],[8656.07,0.146754],[8656.05,0.156913],[8656.04,2],[8655.02,1],[8655.01,0.132368],[8655,0.691511],[8654.98,4],[8654.27,4],[8654.21,0.04],[8654,0.231032],[8653.99,4],[8653.98,0.009244],[8653.97,4],[8653.77,0.5],[8653.71,0.5],[8653.22,4],[8653.18,0.120005],[8653.12,3.937098],[8653.09,0.04619]]"
1579598622351,"[[8657.7,0.117331],[8657.71,0.126085],[8658.21,1],[8658.22,0.5],[8658.54,0.039719],[8658.66,0.5],[8659.28,0.24214],[8659.29,0.132655],[8659.37,0.3],[8659.78,0.288791],[8659.81,0.00127],[8659.99,0.2],[8660,0.330658],[8660.66,0.057887],[8660.83,0.348305],[8660.84,0.191208],[8660.91,1.25],[8661.01,0.039919],[8661.03,0.005781],[8661.06,0.06]]","[[8656.08,0.01155],[8656.07,0.146754],[8656.05,0.156913],[8656.04,2],[8655.02,1],[8655.01,0.132368],[8655,0.691511],[8654.98,4],[8654.27,4],[8654.21,0.04],[8654,0.231032],[8653.99,4],[8653.98,0.009244],[8653.97,4],[8653.77,0.5],[8653.71,0.5],[8653.22,4],[8653.18,0.120005],[8653.12,3.937098],[8653.09,0.04619]]"
1579598622449,"[[8657.7,0.117331],[8657.71,0.126085],[8658.21,1],[8658.22,0.5],[8658.54,0.039719],[8658.66,0.5],[8659.28,0.24214],[8659.29,0.132655],[8659.37,0.3],[8659.78,0.288791],[8659.81,0.00127],[8659.99,0.2],[8660,0.330658],[8660.66,0.057887],[8660.83,0.348305],[8660.84,0.191208],[8660.91,1.25],[8661.01,0.039919],[8661.03,0.005781],[8661.06,0.06]]","[[8656.08,0.01155],[8656.07,0.146754],[8656.05,0.156913],[8656.04,2],[8655.02,1],[8655.01,0.132368],[8655,0.691511],[8654.98,4],[8654.27,4],[8654.21,0.04],[8654,0.231032],[8653.99,4],[8653.98,0.009244],[8653.97,4],[8653.77,0.5],[8653.71,0.5],[8653.22,4],[8653.18,0.120005],[8653.12,3.937098],[8653.09,0.04619]]"
1579598622549,"[[8657.7,0.117331],[8657.71,0.126085],[8658.21,1],[8658.22,0.5],[8658.54,0.039719],[8658.66,0.5],[8659.28,0.24214],[8659.29,0.132655],[8659.37,0.3],[8659.78,0.288791],[8659.81,0.00127],[8659.99,0.2],[8660,0.330658],[8660.66,0.057887],[8660.83,0.348305],[8660.84,0.191208],[8660.91,1.25],[8661.01,0.039919],[8661.03,0.005781],[8661.06,0.06]]","[[8656.08,0.01155],[8656.07,0.146754],[8656.05,0.156913],[8656.04,2],[8655.02,1],[8655.01,0.132368],[8655,0.691511],[8654.98,4],[8654.27,4],[8654.21,0.04],[8654,0.231032],[8653.99,4],[8653.98,0.009244],[8653.97,4],[8653.77,0.5],[8653.71,0.5],[8653.22,4],[8653.18,0.120005],[8653.12,3.937098],[8653.09,0.04619]]"
1579598622652,"[[8657.69,1],[8657.7,0.117331],[8657.71,0.126085],[8658.21,1],[8658.22,0.5],[8658.54,0.039719],[8658.66,0.5],[8659.28,0.24214],[8659.29,0.132655],[8659.37,0.3],[8659.78,0.288791],[8659.81,0.00127],[8659.99,0.2],[8660,0.330658],[8660.66,0.057887],[8660.83,0.348305],[8660.84,0.191208],[8660.91,1.25],[8661.01,0.039919],[8661.03,0.005781]]","[[8656.08,0.01155],[8656.07,0.146754],[8656.05,0.156913],[8656.04,2],[8655.02,1],[8655.01,0.132368],[8655,0.691511],[8654.98,4],[8654.27,4],[8654.21,0.04],[8654,0.231032],[8653.99,4],[8653.98,0.009244],[8653.97,4],[8653.77,0.5],[8653.71,0.5],[8653.22,4],[8653.18,0.120005],[8653.12,3.937098],[8653.09,0.04619]]"
1579598622748,"[[8657.68,0.117883],[8657.69,1],[8657.71,0.126085],[8658.21,1],[8658.22,0.5],[8658.54,0.039719],[8658.66,0.5],[8659.28,0.24214],[8659.29,0.132655],[8659.37,0.3],[8659.78,0.288791],[8659.81,0.00127],[8659.99,0.2],[8660,0.330658],[8660.66,0.057887],[8660.83,0.348305],[8660.84,0.191208],[8660.91,1.25],[8661.01,0.039919],[8661.03,0.005781]]","[[8656.08,0.01155],[8656.07,0.146754],[8656.05,0.156913],[8656.04,2],[8655.02,1],[8655.01,0.132368],[8655,0.691511],[8654.98,4],[8654.27,4],[8654.21,0.04],[8654,0.231032],[8653.99,4],[8653.98,0.009244],[8653.97,4],[8653.77,0.5],[8653.71,0.5],[8653.22,4],[8653.18,0.120005],[8653.12,3.937098],[8653.09,0.04619]]"
1579598622848,"[[8657.68,0.117883],[8657.69,1],[8657.71,0.126085],[8658.22,0.5],[8658.54,0.039719],[8658.66,0.5],[8659.27,0.006449],[8659.28,0.24214],[8659.29,0.132655],[8659.37,0.3],[8659.78,0.288791],[8659.81,0.00127],[8659.99,0.2],[8660,0.330658],[8660.66,0.057887],[8660.83,0.348305],[8660.84,0.191208],[8660.91,1.25],[8661.01,0.039919],[8661.03,0.005781]]","[[8656.08,0.01155],[8656.07,0.146754],[8656.05,0.156913],[8656.04,2],[8655.02,1],[8655.01,0.132368],[8655,0.691511],[8654.98,4],[8654.27,4],[8654.21,0.04],[8654,0.231032],[8653.99,4],[8653.98,0.009244],[8653.97,4],[8653.77,0.5],[8653.71,0.5],[8653.22,4],[8653.18,0.120005],[8653.12,3.937098],[8653.09,0.04619]]"
1579598622948,"[[8657.68,0.117883],[8657.69,1],[8657.71,0.126085],[8658.21,0.147909],[8658.22,0.5],[8658.54,0.039719],[8658.66,0.5],[8659.27,0.006449],[8659.28,0.24214],[8659.29,0.132655],[8659.37,0.3],[8659.78,0.288791],[8659.81,0.00127],[8659.98,0.6],[8659.99,0.2],[8660,0.330658],[8660.66,0.057887],[8660.83,0.348305],[8660.84,0.191208],[8660.91,1.25]]","[[8656.08,0.01155],[8656.07,0.146754],[8656.05,0.156913],[8656.04,2],[8655.02,1],[8655.01,0.132368],[8655,0.691511],[8654.98,4],[8654.27,4],[8654.21,0.04],[8654,0.231032],[8653.99,4],[8653.98,0.009244],[8653.97,4],[8653.77,0.5],[8653.71,0.5],[8653.22,4],[8653.18,0.120005],[8653.12,3.937098],[8653.09,0.04619]]"
1579598623051,"[[8657.68,0.117883],[8657.69,1],[8657.71,0.126085],[8658.21,0.147909],[8658.22,0.5],[8658.54,0.039719],[8658.66,0.5],[8659.27,0.006449],[8659.28,0.24214],[8659.29,0.132655],[8659.37,0.3],[8659.78,0.288791],[8659.81,0.00127],[8659.98,0.6],[8659.99,0.2],[8660,0.330658],[8660.66,0.057887],[8660.83,0.348305],[8660.84,0.191208],[8660.91,1.25]]","[[8656.08,0.01155],[8656.07,0.146754],[8656.05,0.156913],[8656.04,2],[8655.02,1],[8655.01,0.132368],[8655,0.691511],[8654.98,4],[8654.27,4],[8654.21,0.04],[8654,0.231032],[8653.99,4],[8653.98,0.009244],[8653.97,4],[8653.77,0.5],[8653.71,0.5],[8653.22,4],[8653.18,0.120005],[8653.12,3.937098],[8653.09,0.04619]]"
1579598623148,"[[8657.68,0.117883],[8657.69,1],[8657.71,0.126085],[8658.21,0.147909],[8658.22,0.5],[8658.54,0.039719],[8658.66,0.5],[8659.26,0.348305],[8659.27,0.006449],[8659.28,0.24214],[8659.29,0.132655],[8659.37,0.3],[8659.78,0.288791],[8659.81,0.00127],[8659.98,0.6],[8659.99,0.2],[8660,0.330658],[8660.66,0.057887],[8660.84,0.191208],[8660.91,1.25]]","[[8656.08,0.01155],[8656.07,0.146754],[8656.05,0.156913],[8656.04,2],[8655.02,1],[8655.01,0.132368],[8655,0.691511],[8654.98,4],[8654.27,4],[8654.21,0.04],[8654,0.231032],[8653.99,4],[8653.98,0.009244],[8653.97,4],[8653.77,0.5],[8653.71,0.5],[8653.22,4],[8653.18,0.120005],[8653.12,3.937098],[8653.09,0.04619]]"
1579598623250,"[[8657.68,1.910508],[8657.69,1],[8657.71,0.126085],[8658.21,0.147909],[8658.22,0.5],[8658.54,0.039719],[8658.66,0.5],[8659.26,0.348305],[8659.27,0.006449],[8659.28,0.24214],[8659.29,0.132655],[8659.37,0.3],[8659.78,0.288791],[8659.81,0.00127],[8659.98,0.6],[8659.99,0.2],[8660,0.330658],[8660.66,0.057887],[8660.84,0.191208],[8660.91,1.25]]","[[8656.08,0.01155],[8656.07,0.146754],[8656.05,0.156913],[8656.04,2],[8655.02,1],[8655.01,0.132368],[8655,0.691511],[8654.98,4],[8654.27,4],[8654.21,0.04],[8654,0.231032],[8653.99,4],[8653.98,0.009244],[8653.97,4],[8653.77,0.5],[8653.71,0.5],[8653.22,4],[8653.18,0.120005],[8653.12,3.937098],[8653.09,0.04619]]"
1579598623349,"[[8657.68,0.117883],[8657.69,1],[8657.71,0.126085],[8658.22,0.5],[8658.54,0.039719],[8658.66,0.5],[8659.26,0.348305],[8659.27,0.006449],[8659.28,0.24214],[8659.29,0.132655],[8659.37,0.3],[8659.78,0.288791],[8659.81,0.00127],[8659.98,0.6],[8659.99,0.2],[8660,0.330658],[8660.66,0.057887],[8660.84,0.191208],[8660.91,1.25],[8661.01,0.039919]]","[[8656.08,0.01155],[8656.07,0.146754],[8656.05,0.156913],[8656.04,2],[8655.02,1],[8655.01,0.132368],[8655,0.691511],[8654.98,4],[8654.27,4],[8654.21,0.04],[8654,0.231032],[8653.99,4],[8653.98,0.009244],[8653.97,4],[8653.77,0.5],[8653.71,0.5],[8653.22,4],[8653.18,0.120005],[8653.12,3.937098],[8653.09,0.04619]]"
1579598623449,"[[8657.68,0.117883],[8657.71,0.126085],[8658.22,0.5],[8658.54,0.039719],[8658.66,0.5],[8659.26,0.348305],[8659.27,0.006449],[8659.28,0.24214],[8659.29,0.132655],[8659.37,0.3],[8659.78,0.288791],[8659.81,0.00127],[8659.98,0.6],[8659.99,0.2],[8660,0.330658],[8660.66,0.057887],[8660.84,0.191208],[8660.91,1.25],[8661.01,0.039919],[8661.03,0.005781]]","[[8656.08,0.01155],[8656.07,0.146754],[8656.05,0.156913],[8656.04,2],[8655.02,1],[8655.01,0.132368],[8655,0.691511],[8654.98,4],[8654.27,4],[8654.21,0.04],[8654,0.231032],[8653.99,4],[8653.98,0.009244],[8653.97,4],[8653.77,0.5],[8653.71,0.5],[8653.22,4],[8653.18,0.120005],[8653.12,3.937098],[8653.09,0.04619]]"
1579598623548,"[[8657.68,0.117883],[8657.7,1],[8657.71,0.126085],[8658.22,0.5],[8658.54,0.039719],[8658.65,0.132303],[8658.66,0.5],[8659.26,0.348305],[8659.27,0.006449],[8659.28,0.24214],[8659.29,0.132655],[8659.37,0.3],[8659.77,0.121481],[8659.78,0.288791],[8659.81,0.00127],[8659.98,0.6],[8659.99,0.2],[8660,0.330658],[8660.66,0.057887],[8660.84,0.191208]]","[[8656.14,0.146671],[8656.13,0.01155],[8656.12,0.288788],[8656.05,0.156913],[8656.04,2],[8655.02,1],[8655.01,0.132368],[8655,0.691511],[8654.98,4],[8654.27,4],[8654.21,0.04],[8654,0.231032],[8653.99,4],[8653.98,0.009244],[8653.97,4],[8653.77,0.5],[8653.71,0.5],[8653.22,4],[8653.18,0.120005],[8653.12,3.937098]]"
1579598623651,"[[8657.66,0.114869],[8657.67,1.792625],[8657.7,1],[8657.71,0.126085],[8658.22,0.5],[8658.54,0.039719],[8658.65,0.132303],[8658.66,0.5],[8659.26,0.348305],[8659.27,0.006449],[8659.28,0.24214],[8659.29,0.132655],[8659.37,0.3],[8659.77,0.121481],[8659.78,0.288791],[8659.81,0.00127],[8659.98,0.6],[8659.99,0.2],[8660,0.330658],[8660.66,0.057887]]","[[8656.14,0.146671],[8656.13,0.01155],[8656.05,0.156913],[8656.04,2],[8655.02,1],[8655.01,0.132368],[8655,0.691511],[8654.98,4],[8654.27,4],[8654.21,0.04],[8654,0.231032],[8653.99,4],[8653.98,0.009244],[8653.97,4],[8653.77,0.5],[8653.71,0.5],[8653.22,4],[8653.18,0.120005],[8653.12,3.937098],[8653.09,0.04619]]"
1579598623750,"[[8657.64,0.114869],[8657.65,1],[8657.71,0.126085],[8658.22,0.5],[8658.54,0.039719],[8658.65,0.132303],[8658.66,0.5],[8659.26,0.348305],[8659.27,0.006449],[8659.28,0.24214],[8659.29,0.132655],[8659.37,0.3],[8659.77,0.121481],[8659.78,0.288791],[8659.81,0.00127],[8659.98,0.6],[8659.99,0.2],[8660,0.330658],[8660.66,0.057887],[8660.91,1.25]]","[[8656.14,0.146671],[8656.13,0.01155],[8656.05,0.156913],[8656.04,2],[8655.02,1],[8655.01,0.132368],[8655,0.691511],[8654.98,4],[8654.27,4],[8654.21,0.04],[8654,0.231032],[8653.99,4],[8653.98,0.009244],[8653.97,4],[8653.77,0.5],[8653.71,0.5],[8653.22,4],[8653.18,0.120005],[8653.12,3.937098],[8653.09,0.04619]]"
1579598623849,"[[8657.64,0.114869],[8657.65,1],[8657.71,0.126085],[8658.22,0.5],[8658.54,0.039719],[8658.65,0.132303],[8658.66,0.5],[8659.26,0.348305],[8659.27,0.006449],[8659.28,0.24214],[8659.29,0.132655],[8659.37,0.3],[8659.77,0.121481],[8659.78,0.288791],[8659.81,0.00127],[8659.98,0.6],[8659.99,0.2],[8660,0.330658],[8660.66,0.057887],[8660.91,1.25]]","[[8656.14,0.146671],[8656.13,0.01155],[8656.05,0.156913],[8656.04,2],[8655.02,1],[8655.01,0.132368],[8655,0.691511],[8654.98,4],[8654.27,4],[8654.21,0.04],[8654,0.231032],[8653.99,4],[8653.98,0.009244],[8653.97,4],[8653.77,0.5],[8653.71,0.5],[8653.22,4],[8653.18,0.120005],[8653.12,3.937098],[8653.09,0.04619]]"
1579598623951,"[[8657.64,0.114869],[8657.71,1.126085],[8658.21,1.147909],[8658.22,0.5],[8658.54,0.039719],[8658.65,0.132303],[8658.66,0.5],[8659.26,0.348305],[8659.27,0.006449],[8659.28,0.24214],[8659.29,0.132655],[8659.37,0.3],[8659.77,0.121481],[8659.78,0.288791],[8659.81,0.00127],[8659.98,0.6],[8659.99,0.2],[8660,0.330658],[8660.66,0.057887],[8661.01,0.039919]]","[[8656.14,0.146671],[8656.13,0.01155],[8656.05,0.156913],[8656.04,2],[8655.02,1],[8655.01,0.132368],[8655,0.691511],[8654.98,4],[8654.27,4],[8654.21,0.04],[8654,0.231032],[8653.99,4],[8653.98,0.009244],[8653.97,4],[8653.77,0.5],[8653.71,0.5],[8653.22,4],[8653.18,0.120005],[8653.12,3.937098],[8653.09,0.04619]]"
1579598624050,"[[8657.64,0.114869],[8657.71,1.126085],[8658.21,1],[8658.22,0.5],[8658.54,0.039719],[8658.65,0.132303],[8658.66,0.5],[8659.27,0.006449],[8659.28,0.24214],[8659.29,0.132655],[8659.37,0.3],[8659.77,0.121481],[8659.78,0.288791],[8659.81,0.00127],[8659.98,0.6],[8659.99,0.2],[8660,0.330658],[8660.66,0.057887],[8660.93,1.25],[8661,0.348305]]","[[8656.14,0.146671],[8656.13,0.01155],[8656.05,0.156913],[8656.04,2],[8655.02,1],[8655.01,0.132368],[8655,0.691511],[8654.98,4],[8654.27,4],[8654.21,0.04],[8654,0.231032],[8653.99,4],[8653.98,0.009244],[8653.97,4],[8653.77,0.5],[8653.71,0.5],[8653.22,4],[8653.18,0.120005],[8653.12,3.937098],[8653.09,0.04619]]"
1579598624151,"[[8657.64,0.114869],[8657.71,0.126085],[8658.21,1],[8658.22,0.5],[8658.54,0.039719],[8658.65,0.132303],[8658.66,0.5],[8659.27,0.006449],[8659.28,0.24214],[8659.29,0.132655],[8659.37,0.3],[8659.77,0.121481],[8659.78,0.288791],[8659.81,0.00127],[8659.98,0.6],[8659.99,0.2],[8660,0.330658],[8660.66,0.057887],[8660.93,1.25],[8661,0.348305]]","[[8656.14,0.146671],[8656.13,0.01155],[8656.05,0.156913],[8656.04,2],[8655.02,1],[8655.01,0.132368],[8655,0.691511],[8654.98,4],[8654.27,4],[8654.21,0.04],[8654,0.231032],[8653.99,4],[8653.98,0.009244],[8653.97,4],[8653.77,0.5],[8653.71,0.5],[8653.22,4],[8653.18,0.120005],[8653.12,3.937098],[8653.09,0.04619]]"
