t,b,s,h,l,v
1580005829,8324.99,8325,8420,8282.25,22178.860526
1580005829,8324.14,8325,8420,8282.25,22178.76966
1580005829,8324.2,8325,8420,8282.25,22178.76966
1580005829,8324.23,8325,8420,8282.25,22178.76966
1580005829,8324.26,8325,8420,8282.25,22178.76146
1580005829,8324.26,8325,8420,8282.25,22178.76146
1580005830,8324.27,8325,8420,8282.25,22178.76146
1580005830,8324.31,8325,8420,8282.25,22178.76146
1580005830,8324.34,8325,8420,8282.25,22178.76146
1580005830,8324.35,8325,8420,8282.25,22178.76146
1580005830,8324.39,8325,8420,8282.25,22178.76146
1580005830,8324.42,8325,8420,8282.25,22178.840022
1580005830,8324.47,8325,8420,8282.25,22178.838626
1580005830,8324.53,8324.95,8420,8282.25,22178.838626
1580005830,8324.57,8324.95,8420,8282.25,22178.838626
1580005831,8324.63,8324.95,8420,8282.25,22178.838626
1580005831,8324.67,8324.95,8420,8282.25,22178.838626
1580005831,8324.73,8324.95,8420,8282.25,22178.827028
1580005831,8324.77,8324.95,8420,8282.25,22178.827028
1580005831,8324.83,8324.95,8420,8282.25,22178.767848
1580005831,8324.94,8324.95,8420,8282.25,22178.567848
1580005831,8324.94,8324.95,8420,8282.25,22178.567848
1580005831,8324.94,8324.95,8420,8282.25,22178.567848
1580005831,8324.94,8324.95,8420,8282.25,22178.567848
1580005831,8324.94,8324.95,8420,8282.25,22178.567848
1580005831,8324.94,8324.95,8420,8282.25,22178.567848
1580005832,8324.94,8324.95,8420,8282.25,22178.567848
1580005832,8324.94,8324.95,8420,8282.25,22178.567848
1580005832,8324.94,8324.95,8420,8282.25,22178.567848
1580005832,8324.94,8324.95,8420,8282.25,22178.627903
1580005832,8324.94,8324.95,8420,8282.25,22178.627903
1580005832,8324.94,8324.95,8420,8282.25,22178.627903
1580005832,8324.94,8324.95,8420,8282.25,22178.60324
1580005832,8324.94,8324.95,8420,8282.25,22178.60324
1580005833,8324.94,8324.95,8420,8282.25,22178.60324
1580005833,8324.94,8324.95,8420,8282.25,22178.60324
1580005833,8324.94,8324.95,8420,8282.25,22178.60324
1580005833,8324.94,8324.95,8420,8282.25,22178.60324
1580005833,8324.94,8324.95,8420,8282.25,22178.60324
1580005833,8324.94,8324.95,8420,8282.25,22178.591189
1580005833,8324.94,8324.95,8420,8282.25,22178.591189
1580005833,8324.94,8324.95,8420,8282.25,22178.591189
1580005833,8324.94,8324.95,8420,8282.25,22178.191189
1580005833,8324.94,8324.95,8420,8282.25,22178.191189
1580005833,8324.94,8324.95,8420,8282.25,22178.191189
1580005834,8324.94,8324.95,8420,8282.25,22178.193801
1580005834,8324.94,8324.95,8420,8282.25,22178.253824
1580005834,8324.94,8324.95,8420,8282.25,22178.253824
1580005834,8324.94,8324.95,8420,8282.25,22178.253824
1580005834,8324.94,8324.95,8420,8282.25,22178.253824
1580005834,8324.94,8324.95,8420,8282.25,22178.253824
1580005834,8324.94,8324.95,8420,8282.25,22178.253824
1580005835,8324.94,8324.95,8420,8282.25,22178.158239
1580005835,8324.94,8324.95,8420,8282.25,22178.158239
1580005835,8324.94,8324.95,8420,8282.25,22177.938941
1580005835,8324.94,8324.95,8420,8282.25,22177.938941
1580005835,8324.94,8324.95,8420,8282.25,22177.938941
1580005835,8324.94,8324.95,8420,8282.25,22177.938941
1580005835,8324.94,8324.95,8420,8282.25,22177.938941
1580005835,8324.94,8324.95,8420,8282.25,22177.938941
1580005835,8324.94,8324.95,8420,8282.25,22177.938941
1580005835,8324.94,8324.95,8420,8282.25,22177.938941
1580005835,8324.94,8324.95,8420,8282.25,22177.938941
1580005835,8324.94,8324.95,8420,8282.25,22177.938941
1580005836,8324.94,8324.95,8420,8282.25,22177.774466
1580005836,8324.94,8324.95,8420,8282.25,22177.774466
1580005836,8324.94,8324.95,8420,8282.25,22177.782451
1580005836,8324.94,8324.95,8420,8282.25,22177.722446
1580005836,8324.94,8324.95,8420,8282.25,22177.721077
1580005836,8324.94,8324.95,8420,8282.25,22177.721077
1580005836,8324.94,8324.95,8420,8282.25,22177.721077
1580005837,8324.94,8324.95,8420,8282.25,22178.721077
1580005837,8324.94,8324.95,8420,8282.25,22178.64512
1580005837,8324.94,8324.95,8420,8282.25,22178.64512
1580005837,8324.94,8324.95,8420,8282.25,22178.64512
1580005837,8324.94,8324.95,8420,8282.25,22178.64512
1580005837,8324.94,8324.95,8420,8282.25,22178.657157
1580005837,8324.94,8324.95,8420,8282.25,22178.657157
1580005837,8324.94,8324.95,8420,8282.25,22178.657157
1580005838,8324.94,8324.95,8420,8282.25,22178.458015
1580005838,8324.94,8324.95,8420,8282.25,22178.458015
1580005838,8324.94,8324.95,8420,8282.25,22178.458015
1580005838,8324.94,8324.95,8420,8282.25,22178.518055
1580005838,8324.94,8324.95,8420,8282.25,22178.518055
1580005838,8324.94,8324.95,8420,8282.25,22178.518055
1580005838,8324.94,8324.95,8420,8282.25,22178.518055
1580005838,8324.94,8324.95,8420,8282.25,22177.788785
1580005838,8324.94,8324.95,8420,8282.25,22177.788785
1580005838,8324.94,8324.95,8420,8282.25,22177.788785
1580005838,8324.94,8324.95,8420,8282.25,22177.788785
1580005839,8324.94,8324.95,8420,8282.25,22177.787343
1580005839,8324.94,8324.95,8420,8282.25,22177.787343
1580005839,8324.94,8324.95,8420,8282.25,22177.787343
1580005839,8324.94,8324.95,8420,8282.25,22177.787343
1580005839,8324.94,8324.95,8420,8282.25,22177.787343
1580005839,8324.94,8324.95,8420,8282.25,22177.787343
1580005839,8324.94,8324.95,8420,8282.25,22177.787343
1580005840,8324.94,8324.95,8420,8282.25,22177.636984
1580005840,8324.99,8325,8420,8282.25,22178.394449
1580005840,8324.99,8325,8420,8282.25,22178.394449
1580005840,8324.99,8325,8420,8282.25,22178.394449
1580005840,8324.99,8325,8420,8282.25,22178.394449
1580005840,8324.99,8325,8420,8282.25,22178.394449
1580005840,8324.99,8325,8420,8282.25,22178.394449
1580005840,8324.99,8325,8420,8282.25,22178.394449
1580005840,8324.99,8325,8420,8282.25,22178.394449
1580005840,8324.99,8325,8420,8282.25,22178.394449
1580005841,8324.99,8325,8420,8282.25,22177.808373
1580005841,8324.99,8325,8420,8282.25,22177.808373
1580005841,8324.99,8325,8420,8282.25,22177.808373
1580005841,8324.99,8325,8420,8282.25,22177.808373
1580005841,8324.99,8325,8420,8282.25,22177.808373
1580005841,8324.99,8325,8420,8282.25,22177.808373
1580005842,8324.99,8325,8420,8282.25,22177.62556
1580005842,8324.99,8325,8420,8282.25,22177.62556
1580005842,8324.99,8325,8420,8282.25,22177.685593
1580005842,8324.99,8325,8420,8282.25,22177.811563
1580005842,8324.99,8325,8420,8282.25,22177.811563
1580005842,8324.99,8325,8420,8282.25,22178.011563
1580005842,8324.99,8325,8420,8282.25,22178.011563
1580005842,8324.99,8325,8420,8282.25,22178.011563
1580005842,8324.99,8325,8420,8282.25,22178.011563
1580005842,8324.99,8325,8420,8282.25,22178.011563
1580005843,8324.99,8325,8420,8282.25,22177.593449
1580005843,8324.99,8325,8420,8282.25,22177.593449
1580005843,8324.99,8325,8420,8282.25,22177.611615
1580005843,8324.99,8325,8420,8282.25,22177.611615
1580005844,8324.99,8325,8420,8282.25,22177.495335
1580005844,8324.99,8326.99,8420,8282.25,22177.495252
1580005844,8325.06,8326.96,8420,8282.25,22177.495252
1580005844,8325.17,8326.96,8420,8282.25,22177.300258
1580005844,8325.25,8326.96,8420,8282.25,22177.300258
1580005844,8325.3,8326.93,8420,8282.25,22177.29889
1580005844,8325.36,8326.91,8420,8282.25,22177.158307
1580005844,8325.43,8326.91,8420,8282.25,22177.146274
1580005844,8325.48,8326.91,8420,8282.25,22177.006225
1580005845,8325.57,8326.91,8420,8282.25,22177.006225
1580005845,8325.63,8326.91,8420,8282.25,22177.006225
1580005845,8325.67,8326.91,8420,8282.25,22176.849946
1580005845,8325.7,8326.88,8420,8282.25,22176.813845
1580005845,8325.7,8326.87,8420,8282.25,22176.813845
1580005845,8325.7,8326.87,8420,8282.25,22176.813845
1580005846,8325.74,8326.85,8420,8282.25,22176.701068
